time,load_shortfall_3h
2018-01-01 00:00:00,11014.971599137587
2018-01-01 03:00:00,8428.292080028032
2018-01-01 06:00:00,9652.0538027952
2018-01-01 09:00:00,12664.982695478831
2018-01-01 12:00:00,14150.28180323524
2018-01-01 15:00:00,12212.647490869009
2018-01-01 18:00:00,11218.338438593079
2018-01-01 21:00:00,8774.61594866314
2018-01-02 00:00:00,8576.30761108613
2018-01-02 03:00:00,7006.066587358621
2018-01-02 06:00:00,5716.133702752702
2018-01-02 09:00:00,9371.286416921812
2018-01-02 12:00:00,7657.721555551009
2018-01-02 15:00:00,10298.91825960255
2018-01-02 18:00:00,9281.038037797123
2018-01-02 21:00:00,11179.439084907159
2018-01-03 00:00:00,10483.927374919473
2018-01-03 03:00:00,4948.319448619302
2018-01-03 06:00:00,3544.6793119090435
2018-01-03 09:00:00,9892.027428798912
2018-01-03 12:00:00,6186.005313293064
2018-01-03 15:00:00,5928.064223133956
2018-01-03 18:00:00,8570.25053899989
2018-01-03 21:00:00,8172.261626621922
2018-01-04 00:00:00,7637.387356581726
2018-01-04 03:00:00,6413.747291694577
2018-01-04 06:00:00,8030.858335503388
2018-01-04 09:00:00,9863.68684433843
2018-01-04 12:00:00,9943.152490426985
2018-01-04 15:00:00,12441.561250604045
2018-01-04 18:00:00,13431.017036986628
2018-01-04 21:00:00,12729.350131141458
2018-01-05 00:00:00,13697.33434973128
2018-01-05 03:00:00,8240.398379846649
2018-01-05 06:00:00,5668.045977477865
2018-01-05 09:00:00,11220.537964692949
2018-01-05 12:00:00,7647.827181354871
2018-01-05 15:00:00,7300.732978565086
2018-01-05 18:00:00,8734.287675079788
2018-01-05 21:00:00,7353.554441325848
2018-01-06 00:00:00,8445.62936161301
2018-01-06 03:00:00,6665.089587583026
2018-01-06 06:00:00,8315.654182408683
2018-01-06 09:00:00,11234.764037258337
2018-01-06 12:00:00,9676.057261988799
2018-01-06 15:00:00,8866.24566384051
2018-01-06 18:00:00,10446.80231140719
2018-01-06 21:00:00,13137.049815162687
2018-01-07 00:00:00,12617.127139902055
2018-01-07 03:00:00,7729.3887739412685
2018-01-07 06:00:00,10525.292273728342
2018-01-07 09:00:00,13724.378492857202
2018-01-07 12:00:00,11789.267564952828
2018-01-07 15:00:00,16647.030819082433
2018-01-07 18:00:00,16609.036718901847
2018-01-07 21:00:00,15316.487853753235
2018-01-08 00:00:00,15581.040825262904
2018-01-08 03:00:00,12208.640179757333
2018-01-08 06:00:00,10696.121452161298
2018-01-08 09:00:00,13231.778319063485
2018-01-08 12:00:00,14981.366246837135
